Variety,Group,Status,Country,Culm.diameter...1st.internode,culm.strength,flag.leaf.angle,grain.length,grain.width,leaf.length,leaf.senescence,Grain.weight,Salt.injury.at.EC12,Time.to.flowering..from.sowing,panicle.threshability
IRIS 313-11240,IND,I,India,1,1,1,9,2.9,2,1,2.2,1,4.406719247,2
IRIS 313-11241,IND,I,Bangladesh,2,2,3,8.4,2.7,4,1,1.7,2,4.812184355,2
IRIS 313-11242,IND,I,India,1,1,3,8.6,2.8,4,1,1.9,2,4.787491743,1
IRIS 313-11244,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11245,IND,P,India,1,1,1,9.2,2.7,3,2,1.9,1,4.356708827,2
IRIS 313-11247,IND,I,India,1,1,1,9.3,3,3,2,2.5,1,4.248495242,1
IRIS 313-11249,IND,I,Philippines,1,1,1,9.7,2.6,3,2,2.4,1,4.663439094,2
IRIS 313-11251,IND,I,Philippines,1,1,1,8.4,3.1,3,2,2.5,2,4.663439094,2
IRIS 313-11252,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11253,IND,I,Surinam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11256,IND,NA,India,2,1,5,8.8,2.9,3,2,3,1,4.736198448,1
IRIS 313-11257,ADM,NA,India,2,1,5,9,3,4,1,2.9,1,4.663439094,2
IRIS 313-11258,ARO,NA,India,NA,2,5,5.5,2.3,NA,2,1,2,4.672828834,1
IRIS 313-11260,IND,NA,India,1,2,5,8.7,2.9,3,2,2.3,1,4.521788577,1
IRIS 313-11262,IND,NA,India,1,1,3,7.8,3.4,3,1,2.2,1,4.691347882,1
IRIS 313-11263,ADM,NA,India,2,1,5,8.4,3.4,4,1,2.9,1,4.787491743,1
IRIS 313-11264,IND,NA,India,1,1,3,9.4,2.5,3,1,2.1,2,4.682131227,2
IRIS 313-11265,AUS,NA,India,1,1,5,7.2,3.4,3,2,2.1,2,4.418840608,1
IRIS 313-11266,IND,NA,India,2,1,1,7.4,3.3,4,1,2.4,1,4.691347882,2
IRIS 313-11267,IND,NA,India,2,1,3,8.4,2.1,3,2,1.4,2,4.644390899,2
IRIS 313-11269,IND,NA,India,2,1,5,8.3,3.8,4,1,2.7,1,4.700480366,2
IRIS 313-11270,ARO,NA,India,2,1,7,8,3.2,3,1,2,2,4.736198448,2
IRIS 313-11271,IND,NA,India,2,1,5,8.3,3.1,3,1,2.3,NA,4.820281566,2
IRIS 313-11273,IND,NA,India,2,2,5,8.8,3.1,4,2,2.6,1,4.691347882,1
IRIS 313-11274,AUS,NA,India,2,2,3,7.5,2.7,3,2,1.8,2,4.418840608,1
IRIS 313-11275,IND,NA,India,1,2,5,8.3,3.1,3,2,2.3,2,4.418840608,2
IRIS 313-11277,AUS,NA,India,1,1,3,8.5,3,3,1,2.8,2,4.605170186,2
IRIS 313-11278,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11279,IND,NA,India,1,2,5,9.2,3.2,3,2,2.6,1,4.564348191,2
IRIS 313-11280,IND,NA,India,2,2,5,11,2.9,3,1,3,NA,4.682131227,1
IRIS 313-11281,IND,NA,India,2,2,3,8.8,2.8,3,1,2.1,1,4.356708827,2
IRIS 313-11285,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11286,IND,NA,India,2,1,5,8.8,3.3,4,1,2.2,NA,4.762173935,1
IRIS 313-11287,IND,NA,India,2,2,1,9.6,2.9,4,1,2.5,2,4.624972813,2
IRIS 313-11289,ARO,NA,India,2,1,3,8.6,3.8,5,1,2.8,1,4.691347882,2
IRIS 313-11295,AUS,NA,India,1,2,3,8.5,3.1,3,1,2.3,2,4.605170186,2
IRIS 313-11297,ADM,NA,India,1,1,3,7,3.8,3,2,2.3,2,4.574710979,2
IRIS 313-11298,AUS,NA,India,2,1,5,7.1,3.2,3,2,1.9,2,4.418840608,1
IRIS 313-11301,IND,NA,India,1,1,7,8.1,2.6,4,1,1.8,1,4.682131227,2
IRIS 313-11302,IND,NA,India,2,1,3,9,3.1,4,2,1.3,2,4.787491743,1
IRIS 313-11303,IND,NA,India,2,1,5,8.3,2.9,3,2,2.2,1,4.762173935,2
IRIS 313-11316,IND,T,Indonesia,2,2,5,6.7,2.9,4,1,1.6,NA,4.941642423,1
IRIS 313-11321,IND,T,Bangladesh,2,1,7,7.8,2.6,3,1,1.8,2,4.762173935,1
IRIS 313-11324,AUS,T,Bangladesh,NA,2,3,7.6,3.2,NA,2,2.7,1,4.304065093,1
IRIS 313-11338,IND,T,Philippines,2,1,5,9.1,3.8,4,1,3.7,1,4.564348191,1
IRIS 313-11345,IND,T,Philippines,1,1,5,8.6,3,4,2,2.4,1,4.454347296,2
IRIS 313-11350,ARO,NA,India,1,1,5,6.8,2.9,4,1,1.7,2,4.663439094,2
IRIS 313-11351,IND,NA,India,1,1,3,9.4,2.7,3,1,2.2,2,4.709530201,2
IRIS 313-11358,IND,NA,India,1,2,7,7.8,2.2,3,1,1.8,2,4.605170186,2
IRIS 313-11370,IND,NA,India,1,1,5,9,3.5,3,2,3.2,2,4.564348191,2
IRIS 313-11372,IND,NA,India,1,1,5,10.8,2.4,3,1,2.6,1,4.543294782,2
IRIS 313-11386,IND,T,Thailand,2,2,5,10.3,2.6,4,2,2.5,2,4.875197323,2
IRIS 313-11394,IND,T,Indonesia,2,1,5,9.6,2.9,3,2,3,2,4.836281907,2
IRIS 313-11395,IND,T,Indonesia,2,1,5,8.2,2.4,3,2,1.6,NA,4.912654886,2
IRIS 313-11416,IND,NA,India,2,2,5,8.6,2.7,3,2,2.2,2,4.795790546,2
IRIS 313-11431,IND,I,Philippines,1,1,5,9.7,2.9,2,1,2.4,2,4.543294782,2
IRIS 313-11435,JAP,T,Ivory_Coast,2,1,3,9.5,3,3,1,2.4,2,4.477336814,2
IRIS 313-11436,JAP,T,Ivory_Coast,2,1,5,9.4,3.2,3,1,2.4,1,4.521788577,1
IRIS 313-11443,IND,T,India,1,1,5,8.6,3.1,4,1,1.8,2,4.521788577,2
IRIS 313-11453,IND,T,India,1,1,7,8.1,2.4,3,1,1.7,1,4.477336814,2
IRIS 313-11460,IND,T,India,1,1,1,8,3.2,3,2,1.4,1,4.454347296,2
IRIS 313-11461,IND,T,India,1,1,5,9.1,3.4,2,2,2.9,1,4.477336814,2
IRIS 313-11467,IND,T,Philippines,1,1,5,10.1,2.9,4,1,2.7,2,4.787491743,2
IRIS 313-11472,IND,T,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11477,AUS,NA,India,1,1,5,9.1,2.8,3,2,1.6,2,4.356708827,1
IRIS 313-11483,AUS,T,Bangladesh,1,1,3,8,3.9,2,1,3.1,1,4.343805422,2
IRIS 313-11484,AUS,T,Bangladesh,NA,2,5,8.6,2.8,NA,2,2.4,2,4.418840608,1
IRIS 313-11489,AUS,NA,India,2,1,3,9.2,3.3,3,2,2.4,2,4.553876892,2
IRIS 313-11493,IND,T,India,2,1,1,7.8,3.2,3,2,2.3,2,4.584967479,2
IRIS 313-11513,IND,NA,Ecuador,1,1,3,8.2,3.3,2,1,2.7,1,4.644390899,1
IRIS 313-11515,IND,I,na,2,1,1,11.2,3,3,1,3.1,1,4.624972813,2
IRIS 313-11516,IND,I,Philippines,1,1,1,9.5,3.1,2,1,2.7,1,4.49980967,1
IRIS 313-11521,IND,T,Vietnam,2,1,1,8.4,3.8,3,1,3,1,4.744932128,1
IRIS 313-11522,JAP,NA,China,1,1,5,7.8,3.2,3,2,2.1,1,4.33073334,1
IRIS 313-11528,IND,T,Ivory_Coast,2,1,3,9.6,3,4,1,2.6,2,4.927253685,2
IRIS 313-11530,IND,T,Thailand,2,1,1,10.5,3.1,3,2,3.4,1,4.820281566,2
IRIS 313-11543,IND,NA,Myanmar,2,2,5,8.7,3.1,4,2,2.7,1,5.075173815,2
IRIS 313-11546,IND,NA,Myanmar,1,2,5,8.7,3.1,4,2,2.1,1,4.753590191,2
IRIS 313-11547,IND,NA,Myanmar,NA,2,7,8.9,2.9,NA,2,1.8,NA,4.912654886,1
IRIS 313-11555,IND,T,Sierra_Leone,2,1,5,8.1,3.1,3,2,2.5,NA,5.153291594,2
IRIS 313-11567,ARO,T,Nepal,1,1,3,8.6,2.5,4,2,2,1,4.770684624,2
IRIS 313-11575,JAP,NA,China,1,1,5,8,3.3,2,1,2.4,1,4.304065093,1
IRIS 313-11582,JAP,NA,China,1,1,3,7.8,3.2,2,1,2.3,1,4.430816799,2
IRIS 313-11591,ADM,NA,Malaysia,2,1,1,8.6,3,4,1,2.8,1,4.96284463,1
IRIS 313-11596,IND,NA,India,1,1,1,6.2,2.8,3,2,1.4,2,4.454347296,1
IRIS 313-11602,AUS,NA,India,1,1,5,7.8,2.4,2,2,1.8,2,4.33073334,1
IRIS 313-11604,AUS,NA,India,1,1,5,8.9,2.6,3,2,2,1,4.430816799,2
IRIS 313-11607,IND,NA,India,2,1,3,8.6,2.8,3,2,2.5,1,4.844187086,2
IRIS 313-11615,IND,T,Guinea,NA,2,5,7.2,2.9,NA,2,2.3,2,4.96284463,1
IRIS 313-11617,AUS,T,India,2,2,5,7.9,3,3,2,2.2,2,4.430816799,1
IRIS 313-11618,AUS,T,India,2,2,5,9.2,2.3,4,2,2,2,4.543294782,1
IRIS 313-11622,IND,NA,China,NA,2,1,7,2.9,NA,2,2.4,1,4.33073334,1
IRIS 313-11624,IND,T,Nepal,1,2,5,8.9,3,3,2,2.9,2,4.382026635,2
IRIS 313-11626,ARO,T,Nepal,1,2,3,6.8,3.1,3,2,2.3,2,4.477336814,1
IRIS 313-11630,ARO,T,Nepal,2,1,5,7.9,2.1,3,1,1.8,1,4.682131227,2
IRIS 313-11635,IND,T,Thailand,2,2,5,9,3.4,4,2,1.5,1,4.828313737,1
IRIS 313-11638,IND,NA,India,1,1,3,9.1,2.8,3,2,2.8,1,4.454347296,1
IRIS 313-11642,IND,NA,India,1,1,1,8.1,2.9,3,2,2.6,1,4.605170186,1
IRIS 313-11643,IND,NA,India,2,1,3,9.7,2.5,3,2,2.5,2,4.779123493,2
IRIS 313-11644,IND,NA,India,1,1,3,8.2,3.2,3,2,2.7,1,4.584967479,2
IRIS 313-11645,IND,NA,India,2,1,3,8.8,3,3,2,2.8,1,4.605170186,1
IRIS 313-11646,IND,NA,India,1,1,3,9.7,2.8,2,2,3.1,1,4.584967479,1
IRIS 313-11647,IND,NA,India,1,1,3,7.7,3.1,3,2,2.6,1,4.564348191,1
IRIS 313-11648,IND,NA,India,1,1,1,7,2.9,3,2,1.9,1,4.584967479,1
IRIS 313-11651,JAP,NA,China,1,1,5,7.5,3.2,2,1,2.6,1,3.988984047,1
IRIS 313-11652,JAP,NA,China,1,1,5,7.6,3.5,2,1,3.2,1,4.060443011,1
IRIS 313-11654,JAP,NA,China,1,1,5,7.3,3.4,2,1,2.8,1,4.276666119,2
IRIS 313-11655,JAP,NA,China,1,2,5,7.8,3.6,2,1,3.1,1,4.276666119,1
IRIS 313-11656,IND,I,Indonesia,1,1,5,8.7,2.5,3,2,2.5,2,4.477336814,1
IRIS 313-11657,IND,NA,Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11658,JAP,T,Sierra_Leone,1,1,3,8.9,3.4,3,2,2.9,2,4.605170186,1
IRIS 313-11659,JAP,T,Sierra_Leone,2,1,5,8.2,2.9,4,2,2.6,2,4.59511985,2
IRIS 313-11661,JAP,T,Bhutan,1,1,7,8.9,3.4,2,2,3.6,1,4.127134385,1
IRIS 313-11663,IND,T,Zimbabwe,1,1,3,8.9,3.2,3,2,2.8,2,4.584967479,2
IRIS 313-11664,IND,NA,China,1,1,3,9.8,2.7,3,2,2.7,1,4.521788577,1
IRIS 313-11665,IND,NA,China,1,1,1,9,3.2,2,1,3,1,4.430816799,1
IRIS 313-11666,IND,NA,China,1,1,1,9.2,3,2,1,2.7,2,4.33073334,1
IRIS 313-11667,IND,NA,China,1,1,3,8.9,3.1,2,1,2.6,1,4.276666119,1
IRIS 313-11668,IND,NA,China,1,1,3,8.5,3,2,1,2.1,1,4.304065093,1
IRIS 313-11669,IND,I,China,2,1,3,8.3,3.1,4,2,2.4,1,4.219507705,2
IRIS 313-11671,IND,T,Nepal,1,1,3,9,2.9,3,2,2.4,1,4.718498871,2
IRIS 313-11673,JAP,T,Philippines,1,1,5,7.4,2.6,3,1,1.9,2,4.584967479,2
IRIS 313-11674,IND,T,Thailand,2,1,5,8.9,2.7,3,2,2.6,2,4.927253685,2
IRIS 313-11677,IND,T,Thailand,1,1,5,9.3,2.8,3,1,2.4,1,4.584967479,1
IRIS 313-11678,IND,T,Thailand,2,1,5,9.8,3.6,3,2,3.5,2,4.727387819,2
IRIS 313-11679,IND,T,Thailand,1,1,3,10.2,2.7,3,2,2.3,1,4.976733742,2
IRIS 313-11681,IND,T,Thailand,NA,2,5,9.1,3.2,NA,2,3.2,2,4.890349128,1
IRIS 313-11683,IND,T,Thailand,2,1,5,8.8,2,4,1,1.6,2,4.94875989,2
IRIS 313-11684,IND,T,Thailand,2,2,5,8.6,2.2,4,1,1,1,4.976733742,2
IRIS 313-11685,IND,T,Thailand,2,1,5,8.9,3,3,1,2.9,1,4.86753445,2
IRIS 313-11686,IND,T,Thailand,2,1,5,10.5,3.2,4,1,2.8,1,4.955827058,2
IRIS 313-11687,IND,T,Thailand,NA,2,7,9.5,2.6,NA,2,2.8,1,4.912654886,1
IRIS 313-11689,JAP,NA,South_Korea,1,1,3,7.1,3.2,2,2,2.6,1,4.276666119,1
IRIS 313-11691,JAP,T,Bhutan,1,1,3,7.9,2.9,3,2,2.1,2,4.430816799,1
IRIS 313-11692,IND,T,Taiwan,2,2,5,7.2,3.2,4,2,2.5,1,4.564348191,1
IRIS 313-11693,IND,T,Taiwan,2,1,5,6.9,2.7,4,2,2,1,4.605170186,1
IRIS 313-11700,IND,T,Thailand,2,1,5,9.5,3.1,3,2,3.1,2,4.477336814,2
IRIS 313-11704,IND,T,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11705,IND,T,Thailand,2,1,5,9.2,2.9,4,1,2.9,1,4.919980926,2
IRIS 313-11706,IND,T,Thailand,2,1,3,6.1,2.8,3,2,1.4,2,4.8978398,2
IRIS 313-11707,IND,T,Thailand,2,1,5,9.3,2.7,4,2,2.1,2,5.111987788,1
IRIS 313-11708,IND,T,Thailand,2,2,3,9.3,2.6,4,2,2,2,4.779123493,2
IRIS 313-11709,IND,T,Thailand,2,1,5,9.4,2.6,4,2,2.4,1,4.875197323,2
IRIS 313-11710,IND,T,Thailand,2,1,5,9.8,2.7,3,1,3.1,NA,4.976733742,2
IRIS 313-11711,IND,T,Thailand,2,1,5,9.3,2.4,4,2,2.3,1,5.129898715,2
IRIS 313-11712,AUS,NA,India,1,2,5,9.1,3.1,3,2,3,2,4.477336814,1
IRIS 313-11716,IND,T,Guinea,1,1,5,9.5,2.7,3,2,2.4,1,4.727387819,2
IRIS 313-11717,IND,T,Indonesia,1,1,5,8.8,3.2,3,2,2.8,2,4.882801923,2
IRIS 313-11719,IND,NA,Thailand,2,2,5,10.3,3.6,3,2,3.4,1,4.736198448,2
IRIS 313-11720,IND,NA,Thailand,2,1,3,9.5,3,4,1,3.3,2,4.836281907,2
IRIS 313-11721,IND,NA,Thailand,NA,1,7,8.7,3.4,NA,2,3.2,2,4.844187086,1
IRIS 313-11722,IND,T,Bangladesh,1,1,1,8.2,2.6,2,2,1.8,1,4.477336814,1
IRIS 313-11723,IND,T,Guinea,2,1,3,10.8,2.6,4,2,3,2,4.86753445,1
IRIS 313-11724,IND,T,Guinea,2,1,5,6.2,2.4,3,2,2.3,1,4.997212274,1
IRIS 313-11725,JAP,I,Japan,1,1,5,7.7,3.4,2,1,2.8,1,4.234106505,2
IRIS 313-11727,IND,NA,China,2,1,3,7.7,2.8,2,2,2.3,1,4.248495242,1
IRIS 313-11728,IND,NA,China,2,2,5,10.1,2.8,3,2,2.9,1,4.615120517,1
IRIS 313-11730,IND,NA,China,1,1,1,7.1,3.1,3,1,2.3,1,4.644390899,1
IRIS 313-11731,IND,NA,China,2,1,1,9.7,2.6,3,2,2.6,1,4.510859507,1
IRIS 313-11732,IND,NA,China,2,1,5,7.5,3.3,2,2,2.2,1,4.248495242,1
IRIS 313-11733,IND,NA,China,1,1,1,7.8,3.3,2,2,2.5,2,4.543294782,1
IRIS 313-11734,IND,NA,China,2,1,1,8.1,3.2,3,2,2.8,1,4.477336814,1
IRIS 313-11736,JAP,T,Philippines,NA,2,7,7.7,3.3,NA,2,2.5,2,4.49980967,1
IRIS 313-11737,AUS,T,India,1,1,3,6.7,3.2,3,2,2.1,2,4.574710979,2
IRIS 313-11738,IND,T,India,2,1,3,8.4,3.2,4,2,2.7,1,4.430816799,1
IRIS 313-11739,JAP,T,Ghana,1,1,5,9.2,3,3,2,2.8,2,4.59511985,1
IRIS 313-11740,IND,I,Ghana,2,1,3,8,3.5,4,2,2.9,1,4.709530201,1
IRIS 313-11741,IND,T,Sri_Lanka,2,1,3,8.6,3.1,4,2,2.9,1,4.718498871,1
IRIS 313-11742,AUS,NA,India,1,1,3,7.7,2.8,2,1,2.3,2,4.276666119,1
IRIS 313-11744,IND,NA,China,1,1,5,8.9,2.9,3,2,2.4,1,4.382026635,1
IRIS 313-11745,IND,NA,China,2,1,3,8.1,3.1,3,2,1.9,1,4.276666119,1
IRIS 313-11746,IND,NA,China,1,1,3,8.7,2.8,2,2,2.4,1,4.17438727,1
IRIS 313-11747,IND,NA,China,1,1,5,8.9,2.9,2,2,2.6,1,4.276666119,1
IRIS 313-11748,IND,NA,China,2,2,5,8.7,3,3,2,2.4,1,4.382026635,1
IRIS 313-11750,IND,NA,China,2,1,1,8.6,2.9,3,2,2.3,1,4.510859507,1
IRIS 313-11751,IND,NA,China,2,1,3,9.6,2.7,2,2,2.5,2,4.382026635,1
IRIS 313-11752,IND,NA,China,1,1,1,8.4,3.1,2,2,2.3,1,4.276666119,1
IRIS 313-11753,IND,NA,China,1,1,3,8.8,3,1,2,2.4,1,4.094344562,1
IRIS 313-11754,ADM,NA,Madagascar,2,1,3,9.8,3.1,3,2,2.8,NA,4.644390899,1
IRIS 313-11755,JAP,NA,Liberia,2,1,3,9.4,3.4,3,2,2.9,2,4.624972813,1
IRIS 313-11756,JAP,NA,Madagascar,2,1,3,8.7,2.9,3,2,2.5,2,4.624972813,1
IRIS 313-11757,IND,NA,Madagascar,2,1,5,7.7,2.5,3,1,2,2,4.983606622,2
IRIS 313-11758,IND,NA,Ivory_Coast,NA,2,3,8,2.6,NA,2,2.4,1,4.859812404,1
IRIS 313-11759,JAP,NA,Ivory_Coast,2,1,5,8.8,3.1,3,2,2.6,NA,4.624972813,1
IRIS 313-11760,ADM,NA,Madagascar,1,1,3,9,2.6,3,2,2.1,1,4.820281566,1
IRIS 313-11761,ADM,NA,Ivory_Coast,2,1,5,10.2,2.8,3,2,2.6,1,4.762173935,1
IRIS 313-11762,IND,NA,Madagascar,2,1,5,9,2.1,3,1,2.2,1,4.844187086,2
IRIS 313-11763,IND,I,Cameroon,2,1,3,8.7,2.8,2,2,2.2,1,4.521788577,1
IRIS 313-11764,IND,I,Liberia,NA,2,3,7.5,3,NA,2,3.9,1,4.844187086,1
IRIS 313-11767,ADM,NA,Madagascar,2,2,5,11.3,2.5,4,2,2.5,2,4.852030264,1
IRIS 313-11772,IND,T,Madagascar,NA,2,5,9.2,2.9,NA,2,2.6,1,4.521788577,1
IRIS 313-11773,IND,NA,Gambia,2,1,3,8.7,3.1,3,2,2.7,1,4.770684624,2
IRIS 313-11784,IND,T,Sierra_Leone,2,1,1,9.7,2.4,3,1,2.2,2,4.644390899,1
IRIS 313-11786,IND,T,Gambia,2,1,5,10.6,2.7,3,2,2.8,2,4.812184355,1
IRIS 313-11787,IND,T,Gambia,2,2,5,8.9,3.7,4,2,3.2,1,4.905274778,1
IRIS 313-11788,JAP,T,Philippines,2,1,5,7.9,3.7,3,2,2.4,1,4.624972813,1
IRIS 313-11789,ADM,T,Madagascar,2,1,5,10.2,2.8,3,2,2.6,1,4.875197323,1
IRIS 313-11790,JAP,T,Madagascar,2,1,5,8.2,3.5,3,2,2.8,1,4.59511985,1
IRIS 313-11791,IND,T,Madagascar,2,1,5,9.6,3,4,2,2.8,1,4.59511985,1
IRIS 313-11792,JAP,T,Madagascar,2,1,5,8.7,4.1,4,2,3.1,2,4.564348191,1
IRIS 313-11794,ADM,NA,Madagascar,NA,2,3,10.1,2.6,NA,2,3.4,1,4.615120517,1
IRIS 313-11795,IND,NA,China,1,1,1,8.1,3.3,3,2,2.5,1,4.394449155,1
IRIS 313-11796,IND,NA,China,2,1,5,8.3,3.2,2,2,2.3,1,4.418840608,1
IRIS 313-11797,IND,NA,China,1,1,3,10,2.5,2,2,2.6,1,4.127134385,1
IRIS 313-11798,IND,NA,China,1,1,1,9.1,3,2,2,2.6,2,4.394449155,1
IRIS 313-11799,IND,NA,China,1,1,3,9,3.1,2,2,2.4,1,4.382026635,1
IRIS 313-11800,JAP,NA,China,1,1,5,8,3.7,2,1,3.1,NA,4.219507705,1
IRIS 313-11801,IND,NA,China,1,1,3,9,2.8,2,2,2.6,1,4.418840608,1
IRIS 313-11802,IND,NA,China,1,2,3,8.6,3.3,3,2,2.8,1,4.48863637,1
IRIS 313-11804,IND,NA,China,2,1,5,8.1,3.3,3,2,2.3,1,4.317488114,1
IRIS 313-11805,IND,NA,China,2,1,5,8.8,3.4,3,2,2.7,1,4.418840608,1
IRIS 313-11806,IND,NA,China,1,1,3,8.1,3.1,2,2,2.2,2,4.430816799,1
IRIS 313-11807,IND,I,Colombia,2,1,1,9.6,2.5,3,2,2.4,1,4.65396035,1
IRIS 313-11809,AUS,T,Kenya,2,1,5,10.5,2.5,3,2,2.3,1,4.442651256,1
IRIS 313-11810,IND,T,Kenya,2,1,5,9.9,2.9,3,NA,2.3,1,4.820281566,NA
IRIS 313-11811,ADM,T,Kenya,2,2,3,9.1,2.9,3,2,2.1,1,4.812184355,1
IRIS 313-11812,IND,T,Kenya,2,1,3,10.2,2.8,5,2,2.3,2,4.744932128,1
IRIS 313-11813,IND,T,Kenya,2,2,3,9.8,2.7,3,2,2.1,2,4.682131227,1
IRIS 313-11814,IND,T,Kenya,2,1,3,11.2,2.8,4,2,3,2,4.912654886,2
IRIS 313-11815,IND,T,Kenya,2,1,5,9.8,3,4,2,2.7,1,4.770684624,1
IRIS 313-11816,IND,T,Myanmar,1,1,1,7.8,3.1,3,2,2.4,1,4.672828834,2
IRIS 313-11817,IND,T,Myanmar,2,2,5,9.7,2.9,4,2,2.6,1,4.663439094,2
IRIS 313-11819,IND,T,Myanmar,2,2,3,9.5,2.4,3,2,2.8,1,4.736198448,2
IRIS 313-11820,IND,T,Myanmar,2,2,3,10.1,2.7,3,2,3.4,1,4.804021045,2
IRIS 313-11821,IND,T,India,2,1,5,7.1,3.3,4,2,2.1,2,4.812184355,1
IRIS 313-11822,IND,T,India,2,1,3,9.1,3.1,3,2,2.6,NA,4.709530201,1
IRIS 313-11823,IND,T,India,2,1,5,9.6,3,4,2,2,2,4.770684624,1
IRIS 313-11824,IND,T,India,2,1,5,8.9,3.5,3,2,2.5,2,4.736198448,1
IRIS 313-11825,ARO,T,India,2,1,5,9.5,2.7,4,2,2.4,NA,4.709530201,1
IRIS 313-11829,JAP,T,Pakistan,1,1,5,7.3,3.3,2,1,2.4,2,4.356708827,2
IRIS 313-11832,JAP,T,Thailand,2,1,3,9.3,2.8,3,2,2,1,4.634728988,1
IRIS 313-11833,IND,T,Thailand,2,1,3,8.2,2.5,4,2,1.6,1,4.941642423,2
IRIS 313-11835,IND,T,Thailand,2,1,7,9.9,3.2,4,2,2.7,1,4.672828834,1
IRIS 313-11836,IND,T,Thailand,2,2,5,9.1,2.8,4,2,2.7,1,4.779123493,2
IRIS 313-11840,IND,T,Thailand,2,1,3,10.2,2.8,4,2,2,1,4.919980926,2
IRIS 313-11842,IND,T,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11848,IND,T,Malaysia,2,1,5,9.5,2.9,4,2,2.4,1,5.081404365,2
IRIS 313-11854,IND,NA,China,2,1,5,7.7,3.1,3,2,2.1,2,4.465908119,NA
IRIS 313-11866,IND,NA,China,1,1,3,7.6,3.1,2,2,2.2,1,4.430816799,2
IRIS 313-11867,IND,NA,China,1,1,3,8.4,2.7,3,2,2.1,1,4.454347296,2
IRIS 313-11870,IND,NA,China,2,1,5,8.3,2.8,3,2,2.2,1,4.406719247,2
IRIS 313-11877,IND,NA,China,2,1,3,9.5,2.9,3,2,2.3,2,4.276666119,1
IRIS 313-11878,IND,NA,China,2,1,5,8.3,3.1,3,2,2.6,2,4.369447852,1
IRIS 313-11882,IND,NA,China,2,1,3,8.6,3.4,3,2,2.9,1,4.430816799,1
IRIS 313-11887,IND,I,Philippines,2,1,1,8.9,2.5,3,2,2.3,2,4.48863637,1
IRIS 313-11897,JAP,T,Thailand,1,1,3,8.9,3.2,4,1,2.6,2,4.477336814,1
