"X3K_DNA_IRIS_UNIQUE_ID","Status_with_Pedigree.plus.knowledge","Region_of_Origin","K9_group_Admixture","Genetic_Stock_Accession","Country_Origin_updated","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
"IRIS_313_10000","I","EAR","XI-1B","IRGC 125907","Korea, Republic of",1,1,1,8.2,3.1,2,1,2.6,1,4.43081679884331,1
"IRIS_313_10010","T","OCE","XI-2","IRGC 125818","Fiji",2,2,5,8,3.1,3,2,2.2,1,4.91265488573605,2
"IRIS_313_10020","T","IOC","cA (Aus)","IRGC 120968","Sri Lanka",1,2,3,7.9,2.7,3,2,2,2,4.59511985013459,1
"IRIS_313_10026",NA,"IOC","XI-2","IRGC 125804","Madagascar",1,1,3,8.3,2.7,3,2,2.1,2,4.55387689160054,2
"IRIS_313_10059",NA,"EAR","GJ-tmp","IRGC 125717","Korea, Republic of",1,1,3,7.5,3.3,2,1,2.7,1,4.29045944114839,1
"IRIS_313_10078","T","EAR","GJ-trp","IRGC 125947","Japan",1,1,3,9.1,3.8,2,1,3.3,2,4.35670882668959,1
"IRIS_313_10097","T","EAR","GJ-tmp","IRGC 125830","Korea, Republic of",1,1,5,7.1,3.5,2,1,1.8,2,4.11087386417331,2
"IRIS_313_10109","T","WAF","XI-3","IRGC 125735","Nigeria",2,1,1,10.2,3.1,3,2,3.2,1,4.76217393479776,1
"IRIS_313_10114","I","EAF","XI-2","IRGC 125739","Burundi",2,1,3,8.5,2.7,3,2,2.7,2,4.43081679884331,2
"IRIS_313_10134",NA,"SEA","XI-3","IRGC 125871","Thailand",2,2,3,9.8,2.8,3,1,2.7,1,4.9416424226093,2
"IRIS_313_10158",NA,"SAM","XI-adm","IRGC 126080","Ecuador",1,1,5,10.2,2.8,4,2,2.6,2,4.88280192258637,2
"IRIS_313_10171",NA,"EAS","XI-1A","IRGC 125944","China",1,1,1,8.9,3.1,2,2,2.9,1,4.52178857704904,1
"IRIS_313_10177",NA,"EAS","XI-adm","IRGC 125719","China",2,2,5,7.6,3.1,4,2,2,1,4.59511985013459,1
"IRIS_313_10179",NA,"EAS","XI-adm","IRGC 125755","China",1,1,5,8.4,2.8,3,2,2.3,1,4.4188406077966,1
"IRIS_313_10189",NA,"EAS","XI-1A","IRGC 125723","China",1,1,3,7.4,3,3,2,2.2,2,4.52178857704904,2
"IRIS_313_10221",NA,"EAS","XI-adm","IRGC 125663","China",2,1,3,7.7,2.8,2,2,2.1,1,4.27666611901606,1
"IRIS_313_10228",NA,"EAS","GJ-tmp","IRGC 125758","China",2,1,5,6.6,3.1,4,2,1.9,2,4.40671924726425,1
"IRIS_313_10235","I","SER-IRRI","XI-adm","IRGC 125874","Philippines",2,1,1,10.1,2.7,3,2,3.2,1,4.64439089914137,2
"IRIS_313_10237","I","SER-IRRI","XI-1B",NA,"Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10260",NA,"SAM","XI-adm","IRGC 125957","Paraguay",NA,2,5,9,2.4,NA,2,2.1,2,4.60517018598809,1
"IRIS_313_10301","I","SAM","XI-adm","IRGC 126064","Brazil",NA,2,5,10,2.4,NA,2,2.1,1,4.40671924726425,1
"IRIS_313_10327",NA,"SAM","GJ-trp","IRGC 127042","Peru",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"IRIS_313_10332","I","SER","XI-adm","IRGC 126044","Indonesia",NA,2,3,8.5,2.6,NA,2,2.4,2,4.67282883446191,1
"IRIS_313_10333","I","SER","XI-1B","IRGC 125951","Indonesia",NA,2,3,7.7,2.8,NA,2,2.4,2,4.43081679884331,1
"IRIS_313_10337","I","SER","XI-adm","IRGC 125953","Indonesia",NA,2,7,8.4,2.9,NA,2,2.7,2,4.55387689160054,1
"IRIS_313_10352","I","SAM","XI-adm","IRGC 120922","Colombia",NA,2,3,9.1,2.5,NA,2,2.9,1,4.43081679884331,1
"IRIS_313_10392","I","SER-IRRI","XI-1B","IRGC 127075","Philippines",NA,2,1,9.2,2.3,NA,2,2.2,2,4.7361984483945,1
"IRIS_313_10394","I","SER-IRRI","XI-adm","IRGC 125986","Philippines",NA,2,7,8.7,2.9,NA,2,2.1,1,4.54329478227,1
"IRIS_313_10397","I","SAM","XI-1B","IRGC 120991","Colombia",NA,2,3,10,2.2,NA,2,2.2,1,4.34380542185368,1
"IRIS_313_10423",NA,"SEA","XI-adm","IRGC 121160","Myanmar",NA,2,7,8.6,2.9,NA,2,3.4,2,4.46590811865458,1
"IRIS_313_10440",NA,"SER","GJ-tmp","IRGC 127642","Philippines",NA,2,7,7.2,3.4,NA,2,2.4,1,4.52178857704904,1
"IRIS_313_10458","P","EAS","XI-1A","IRGC 127695","China",2,2,5,7.8,3.2,3,2,2,1,4.24849524204936,1
"IRIS_313_10469","I","EAR","GJ-tmp","IRGC 128347","Japan",1,1,5,7.5,3.6,2,1,2.8,1,4.31748811353631,1
"IRIS_313_10477",NA,"EAS","XI-adm","IRGC 128454","China",2,1,1,8.4,3,3,2,2.3,1,4.38202663467388,1
"IRIS_313_10503",NA,"EAS","XI-1A","IRGC 127398","China",2,1,3,8.8,3,3,2,2.1,2,4.38202663467388,1
"IRIS_313_10509",NA,"WAF","XI-3","IRGC 127120","West Africa",2,1,1,8.1,2.6,4,2,1.4,2,4.89783979995091,1
"IRIS_313_10511","T","SER","XI-3","IRGC 128101","Philippines",NA,2,5,9.2,2.6,NA,2,2.7,1,4.84418708645859,1
"IRIS_313_10515","I","EAR","XI-1A","IRGC 127836","Taiwan",2,2,1,7.4,3.1,3,2,2.2,1,4.46590811865458,1
"IRIS_313_10518",NA,"SEA","XI-adm","IRGC 128088","Myanmar",2,2,1,8.5,3.8,5,2,2.8,1,4.75359019110636,1
"IRIS_313_10519","P","SAC","XI-2","IRGC 135733","India",2,1,5,7.1,2.7,5,2,2.9,NA,5.01727983681492,1
"IRIS_313_10524",NA,"SEA","XI-3","IRGC 136182","Thailand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10526",NA,"SAC","XI-2",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10534","P","SAC","cA (Aus)","IRGC 127290","India",1,2,5,8.1,3,3,2,2.3,2,4.24849524204936,1
"IRIS_313_10541","P","WAF","GJ-trp","IRGC 131990","Guinea-Bissau",2,2,3,9.6,2.7,3,2,2.4,2,4.4188406077966,1
"IRIS_313_10542",NA,"SAC","XI-2","IRGC 127992","India",2,2,1,8,3.3,3,2,2.5,1,4.4188406077966,1
"IRIS_313_10544",NA,"SAC","XI-2","IRGC 127340","India",2,2,1,7.8,3.2,3,2,2.4,2,4.24849524204936,1
"IRIS_313_10547","P","SEA","XI-adm","IRGC 128007","Myanmar",2,1,1,8.7,3.5,4,2,2.9,1,4.94875989037817,1
"IRIS_313_10550","i","SER","XI-adm","IRGC 135561","Indonesia",2,2,5,9.7,2.8,4,2,2.7,NA,4.77068462446567,1
"IRIS_313_10560",NA,"EAS","XI-1A","IRGC 127848","China",2,1,1,8.3,3.3,3,2,2.1,1,4.58496747867057,1
"IRIS_313_10561",NA,"EAS","XI-1A","IRGC 127645","China",2,1,1,8.6,3.3,3,2,2.6,1,4.47733681447821,1
"IRIS_313_10563","P","EAS","GJ-tmp","IRGC 128469","China",1,1,5,9.5,3.4,2,1,3.2,2,4.39444915467244,1
"IRIS_313_10564","P","EAR","GJ-tmp","IRGC 128209","Japan",1,2,3,7.4,3.4,3,1,2.4,2,4.43081679884331,1
"IRIS_313_10570",NA,"EAR","GJ-tmp","IRGC 128263","Japan",1,1,5,7.5,3.5,2,1,2.6,1,4.53259949315326,1
"IRIS_313_10576",NA,"WAF","XI-2","IRGC 127979","Sierra Leone",2,1,1,10.3,3.1,4,2,3,1,4.77068462446567,1
"IRIS_313_10577","T","SER","GJ-trp","IRGC 128318","Philippines",2,1,5,9.6,3.8,5,1,2.1,2,4.68213122712422,1
"IRIS_313_10578","T","SER","GJ-trp","IRGC 132028","Philippines",NA,2,7,9,3.6,NA,2,2.9,1,4.69134788222914,1
"IRIS_313_10582","T","SER","GJ-trp","IRGC 128440","Philippines",2,1,5,9.4,3.8,4,1,2.5,1,4.68213122712422,1
"IRIS_313_10602","P","SAE","cA (Aus)","IRGC 127329","Bangladesh",2,1,1,8,3.4,3,2,2.4,2,4.51085950651685,1
"IRIS_313_10603","P","SAE","cA (Aus)","IRGC 127871","Bangladesh",2,1,5,8.5,3.2,3,2,2.8,2,4.51085950651685,1
"IRIS_313_10605","P","SAE","cA (Aus)","IRGC 127348","Bangladesh",2,1,1,8.1,3.2,3,2,2.5,1,4.51085950651685,1
"IRIS_313_10609","T","IOC","XI-adm","IRGC 127612","Sri Lanka",2,1,1,8.2,3.2,4,2,2.2,1,4.69134788222914,1
"IRIS_313_10614",NA,"EAS","XI-adm","IRGC 128049","Hong Kong",2,1,1,8.5,3.2,4,2,3.1,1,4.61512051684126,1
"IRIS_313_10617",NA,"WAS","GJ-tmp","IRGC 131998","Uzbekistan",1,1,5,7.9,3.7,2,1,2.4,1,4.47733681447821,1
"IRIS_313_10623",NA,"SAC","cA (Aus)","IRGC 127804","Nepal",1,2,5,8.7,3,3,1,2.3,1,4.30406509320417,2
"IRIS_313_10628","T","SAC","XI-2","IRGC 132361","India",2,2,5,8.9,2.6,4,1,2.1,1,4.84418708645859,2
"IRIS_313_10642","P","EAR","GJ-tmp","IRGC 128455","Japan",1,1,3,7.6,3.4,2,1,2.6,1,4.39444915467244,1
"IRIS_313_10652","T","SEA","XI-3","IRGC 127268","Lao People's Democratic Republic",2,2,3,9.6,2.9,4,1,2.6,1,4.46590811865458,2
"IRIS_313_10654","P","SEA","XI-3","IRGC 128335","Lao People's Democratic Republic",1,1,5,10.8,2.9,3,1,2.2,2,4.33073334028633,2
"IRIS_313_10657",NA,"SEA","GJ-sbtrp","IRGC 135801","Lao People's Democratic Republic",2,2,5,8.7,3.2,4,1,3,NA,4.30406509320417,1
"IRIS_313_10664",NA,"SAC","XI-2","IRGC 127163","India",1,2,1,8.2,2.7,3,1,2.1,2,4.57471097850338,1
"IRIS_313_10666",NA,"SAC","XI-adm","IRGC 127164","India",1,2,3,9.8,2.9,3,1,1.5,2,4.57471097850338,1
"IRIS_313_10671",NA,"SAC","XI-adm","IRGC 127128","India",1,2,5,8.7,2.8,4,1,2,2,4.4188406077966,2
"IRIS_313_10675","T","SAC","XI-adm","IRGC 127132","India",1,2,5,8.7,2.8,3,1,2.7,2,4.33073334028633,2
"IRIS_313_10677","P","EAR","GJ-tmp","IRGC 128277","Japan",1,1,1,7.4,3.3,3,1,2.3,2,4.20469261939097,1
"IRIS_313_10682","T","SEA","XI-3","IRGC 127707","Lao People's Democratic Republic",2,1,1,8.6,3.7,3,1,2.7,1,4.71849887129509,1
"IRIS_313_10687","T","SER","XI-3",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10688","T","SER","XI-3","IRGC 135782","Malaysia",2,2,5,8.2,2.7,3,1,2.5,NA,4.96284463025991,1
"IRIS_313_10693","T","SER","GJ-trp","IRGC 132268","Indonesia",2,1,7,8.9,3.3,3,1,3.6,2,4.71849887129509,1
"IRIS_313_10697","T","SER","XI-3",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10703","T","SER","GJ-trp","IRGC 128418","Malaysia",2,1,5,9.2,3.1,3,1,2.8,2,4.51085950651685,1
"IRIS_313_10706","T","SER","XI-3",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10707","T","SER","XI-3",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10710","T","SAM","GJ-trp","IRGC 128135","Surinam",2,2,3,8,3.4,3,1,2.9,2,4.51085950651685,1
"IRIS_313_10712",NA,"WAF","GJ-trp","IRGC 128354","Cote d'Ivoire",2,1,3,9.6,3.7,3,1,3.4,1,4.51085950651685,1
"IRIS_313_10718","T","IOC","cA (Aus)","IRGC 128073","Sri Lanka",1,2,3,7.3,2.9,3,1,2.2,2,4.34380542185368,2
"IRIS_313_10723",NA,"WAF","XI-2","IRGC 128111","Senegal",2,2,3,8.1,2.8,4,1,2.4,2,4.77912349311153,1
"IRIS_313_10725",NA,"WAF","XI-adm","IRGC 128518","Senegal",2,2,3,8.7,3.4,4,1,3.1,1,4.58496747867057,1
"IRIS_313_10726",NA,"WAF","XI-3","IRGC 128139","Senegal",2,2,3,9.2,2.5,4,1,2.1,1,4.77912349311153,1
"IRIS_313_10727",NA,"WAF","XI-3",NA,"Senegal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10728",NA,"WAF","XI-adm","IRGC 132261","Senegal",1,2,1,7.9,3.2,4,1,2.5,1,4.83628190695148,1
"IRIS_313_10733",NA,"SAC","XI-adm","IRGC 127634","Nepal",1,2,5,9.6,3,3,1,2.2,2,4.51085950651685,2
"IRIS_313_10744","T","SER","GJ-trp","IRGC 127811","Indonesia",1,1,5,6.9,3.2,3,1,2.3,1,4.74493212836325,1
"IRIS_313_10748","T","SEA","XI-adm","IRGC 127578","Viet Nam",1,2,5,8.6,2.6,3,1,2,1,4.23410650459726,1
"IRIS_313_10756","I","SAC","XI-2","IRGC 127299","India",1,2,1,7.6,2.9,2,1,2.1,1,4.29045944114839,1
"IRIS_313_10762","T","SER","XI-3","IRGC 127207","Indonesia",2,2,7,8.4,3,3,1,2.9,2,4.70953020131233,1
"IRIS_313_10771","T","SER","GJ-trp",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10774","T","SER","XI-adm","IRGC 127404","Indonesia",2,2,3,9.5,3,3,1,2.6,2,4.70953020131233,1
"IRIS_313_10778","T","SER","XI-3",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10779","T","SER","XI-3","IRGC 128521","Indonesia",1,2,5,9.5,2.3,3,1,2.3,2,4.74493212836325,2
"IRIS_313_10786","T","SER","XI-3",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10787","T","SER","XI-3",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10789","T","SER","GJ-trp","IRGC 132009","Indonesia",1,2,7,9.6,3.1,4,1,3.4,1,4.66343909411207,1
"IRIS_313_10793","T","SER","GJ-trp","IRGC 132257","Indonesia",2,2,5,7.8,3.6,4,1,2.5,2,4.38202663467388,1
"IRIS_313_10794","T","SER","GJ-trp","IRGC 127624","Indonesia",2,1,5,8.6,3,4,1,2.1,2,4.47733681447821,1
"IRIS_313_10797","T","SER","XI-3","IRGC 132357","Indonesia",2,2,5,9.8,2.7,4,1,2.7,1,4.74493212836325,2
"IRIS_313_10798","T","SER","GJ-trp","IRGC 135640","Indonesia",1,1,5,6.9,3.5,3,1,2.2,NA,4.38202663467388,1
"IRIS_313_10802","T","SER","GJ-trp",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10805","T","SER","GJ-trp","IRGC 127746","Indonesia",2,1,5,8.3,3.4,3,1,2.6,2,4.59511985013459,1
"IRIS_313_10806","T","SER","XI-3","IRGC 135789","Indonesia",1,2,5,8.9,2.8,3,1,2.2,NA,4.78749174278205,1
"IRIS_313_10810","T","SER","XI-3","IRGC 135793","Indonesia",2,2,5,9.6,3.3,4,1,2.7,NA,4.66343909411207,1
"IRIS_313_10813","T","SER","XI-3",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10814","T","SER","XI-3","IRGC 128163","Indonesia",2,1,3,9.6,2.6,4,1,2.3,1,4.74493212836325,1
"IRIS_313_10816","T","SER","GJ-trp","IRGC 128164","Indonesia",1,2,5,8.5,3.6,3,1,2.8,1,4.78749174278205,1
"IRIS_313_10820","T","SER","XI-3","IRGC 128189","Indonesia",2,2,3,8.5,3.1,3,1,2.6,2,4.66343909411207,1
"IRIS_313_10822","T","SER","XI-3","IRGC 128199","Indonesia",2,2,5,6.6,3.2,4,1,2,1,4.78749174278205,1
"IRIS_313_10824","T","SER","XI-3","IRGC 128053","Indonesia",2,2,5,9.3,2.7,4,1,2.6,2,4.68213122712422,1
"IRIS_313_10825",NA,"WAF","XI-adm","IRGC 132310","Sierra Leone",2,2,5,8.2,3,4,1,2.6,1,4.68213122712422,2
"IRIS_313_10827","T","SER","GJ-trp","IRGC 128242","Philippines",1,2,5,8.7,2.9,3,1,2.2,2,4.34380542185368,1
"IRIS_313_10834","I","SAC","GJ-sbtrp","IRGC 128314","India",1,2,5,8.9,3.2,2,2,2.4,2,4.30406509320417,1
"IRIS_313_10835","I","SAC","XI-2","IRGC 127727","India",1,2,3,8.3,3,4,1,2.2,1,4.24849524204936,2
"IRIS_313_10840","T","EAR","GJ-tmp","IRGC 128507","Korea, Republic of",1,2,5,6.6,3.3,2,1,2.4,2,4.0943445622221,2
"IRIS_313_10845",NA,"SAC","cA (Aus)","IRGC 132418","India",1,2,5,8.4,3,3,1,2.4,2,4.77068462446567,2
"IRIS_313_10847",NA,"SAC","XI-adm","IRGC 127972","India",2,2,1,8.4,3.4,4,1,2.8,1,4.86753445045558,1
"IRIS_313_10850",NA,"SAC","admix","IRGC 132244","India",2,1,7,8.4,3.8,4,1,2.8,2,4.39444915467244,1
"IRIS_313_10851",NA,"SAC","cB (Bas)","IRGC 132387","India",2,2,3,8.4,3,3,1,2.3,NA,4.86753445045558,1
"IRIS_313_10852",NA,"SAC","cA (Aus)","IRGC 127169","India",2,2,1,7.2,3.5,3,1,2.1,2,4.12713438504509,1
"IRIS_313_10857",NA,"SAC","admix","IRGC 127129","India",1,2,1,10.3,2,3,1,2.5,1,4.45434729625351,2
"IRIS_313_10858",NA,"SAC","XI-adm","IRGC 127131","India",1,2,3,9.1,2.9,4,1,2.1,1,4.45434729625351,1
"IRIS_313_10859",NA,"SAC","XI-adm","IRGC 127933","India",2,2,NA,7.6,2.4,3,1,1.6,2,4.39444915467244,2
"IRIS_313_10861",NA,"SAC","cA (Aus)","IRGC 127134","India",2,2,5,8.1,3.3,3,1,2.4,2,4.21950770517611,1
"IRIS_313_10863",NA,"SAC","XI-2","IRGC 127937","India",2,2,5,8.7,3.1,4,1,2.6,2,4.83628190695148,1
"IRIS_313_10870",NA,"SAC","GJ-sbtrp","IRGC 131966","India",2,1,5,5.7,3.1,4,1,1.7,1,4.39444915467244,1
"IRIS_313_10871",NA,"SAC","cA (Aus)","IRGC 127139","India",2,2,3,8.3,3.2,4,1,2.1,2,4.24849524204936,2
"IRIS_313_10872",NA,"SAC","GJ-adm","IRGC 132421","India",1,2,7,9.3,3.1,3,1,2.6,2,4.34380542185368,1
"IRIS_313_10883",NA,"SAC","admix","IRGC 128224","India",1,2,5,10.8,2.9,3,1,2.7,2,4.45434729625351,1
"IRIS_313_10888",NA,"SAC","GJ-sbtrp","IRGC 127943","India",1,1,7,10.1,3.3,3,1,2.6,2,4.24849524204936,1
"IRIS_313_10889",NA,"SAC","GJ-sbtrp",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10891",NA,"SAC","cA (Aus)","IRGC 127148","India",2,2,5,7.7,2.8,4,1,1.6,2,4.39444915467244,2
"IRIS_313_10892",NA,"SAC","cA (Aus)","IRGC 127149","India",1,2,3,7.4,2.7,3,1,1.5,2,4.24849524204936,1
"IRIS_313_10894",NA,"SAC","admix","IRGC 127150","India",2,2,3,9.2,3.1,5,1,2.6,2,4.39444915467244,1
"IRIS_313_10895",NA,"SAC","GJ-sbtrp","IRGC 127151","India",2,2,5,6.7,2.5,4,1,1.2,2,4.39444915467244,2
"IRIS_313_10900","T","SEA","XI-3","IRGC 132331","Cambodia",2,2,5,8.6,3.1,4,1,2.3,2,4.93447393313069,2
"IRIS_313_10912","T","SEA","XI-3","IRGC 136185","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10916","T","SEA","GJ-tmp",NA,"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10918","T","SER","GJ-trp","IRGC 135803","Philippines",2,1,5,8.7,3.9,3,2,2.8,NA,4.77068462446567,1
"IRIS_313_10921",NA,"SEA","XI-adm","IRGC 132427","Lao People's Democratic Republic",2,1,3,9,3.1,3,2,2.7,2,4.43081679884331,1
"IRIS_313_10922",NA,"SEA","GJ-sbtrp","IRGC 132264","Lao People's Democratic Republic",2,1,5,9.9,3.9,3,2,3.9,1,4.67282883446191,1
"IRIS_313_10923","T","SEA","GJ-sbtrp","IRGC 128256","Thailand",2,1,3,9.8,3.6,3,1,3.2,1,4.66343909411207,1
"IRIS_313_10927","T","SAC","cA (Aus)","IRGC 127828","Nepal",2,2,3,8.8,3.4,4,1,2.4,1,4.55387689160054,2
"IRIS_313_10928","T","SEA","XI-3","IRGC 128342","Thailand",1,2,5,9.6,2.5,3,1,2.4,2,4.20469261939097,1
"IRIS_313_10930","P","SAE","cA (Aus)","IRGC 127714","Bangladesh",2,2,3,7.5,3.2,2,1,2.8,1,4.38202663467388,2
"IRIS_313_10936",NA,"SER","GJ-trp","IRGC 127504","Indonesia",2,2,5,9.9,2.8,4,1,2.3,2,4.74493212836325,1
"IRIS_313_10937","T","SER","XI-3","IRGC 135788","Indonesia",2,2,3,7.8,3.4,4,1,2.5,NA,4.96284463025991,1
"IRIS_313_10938","T","SER","XI-3",NA,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10941",NA,"SER","XI-adm","IRGC 127809","Indonesia",2,2,5,9.9,2.9,3,1,2,1,4.68213122712422,1
"IRIS_313_10942","T","SER","XI-3","IRGC 127987","Indonesia",1,1,1,8.9,2.9,3,1,2.3,1,4.78749174278205,1
"IRIS_313_10944","T","SER","XI-3","IRGC 132269","Indonesia",2,2,3,8.8,3.1,4,1,1.9,1,4.89783979995091,1
"IRIS_313_10948",NA,"SER","admix","IRGC 132363","Indonesia",2,1,7,8.5,2.7,5,2,2.3,2,4.71849887129509,1
"IRIS_313_10949",NA,"SER","GJ-trp","IRGC 127851","Indonesia",2,1,3,7.7,3.7,4,1,2.9,1,4.53259949315326,1
"IRIS_313_10954","T","SER","XI-3","IRGC 127700","Indonesia",2,2,5,8.4,3.2,4,1,3,1,4.74493212836325,1
"IRIS_313_10960","T","SER","GJ-trp","IRGC 132042","Indonesia",2,2,5,8.9,2.7,4,1,2.3,2,4.63472898822964,1
"IRIS_313_10961","T","SER","XI-3","IRGC 136187","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10965","T","SAE","cA (Aus)","IRGC 127859","Bangladesh",1,2,5,8.7,2.6,4,1,2.2,1,4.21950770517611,1
"IRIS_313_10968",NA,"SAM","XI-1A","IRGC 127428","Brazil",1,2,3,8.2,3.1,3,1,2.5,2,4.21950770517611,1
"IRIS_313_10975","T","SAE","XI-2","IRGC 136183","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10980","T","SAE","admix","IRGC 127344","Bangladesh",2,2,3,8.5,3,3,1,2.9,2,4.39444915467244,2
"IRIS_313_10984","T","SAE","XI-2","IRGC 128034","Bangladesh",1,2,3,8.6,3.4,4,1,3,2,4.49980967033027,1
"IRIS_313_10986","T","SAE","XI-2","IRGC 128048","Bangladesh",1,2,5,8.2,3.3,4,1,2.3,2,4.49980967033027,2
"IRIS_313_10988","P","SAC","XI-adm","IRGC 132422","India",1,2,5,9.1,2.9,2,1,2.4,1,4.34380542185368,2
"IRIS_313_10990","T","SER","XI-adm","IRGC 127206","Philippines",2,2,5,7.5,3.5,4,1,2.6,2,4.44265125649032,1
"IRIS_313_10994","T","SER","GJ-trp","IRGC 135783","Philippines",1,2,5,8.9,3.3,4,1,2.6,NA,4.56434819146784,1
"IRIS_313_10995","T","SER","XI-3","IRGC 127976","Indonesia",1,2,5,7.8,3.1,4,1,2.6,1,4.76217393479776,2
"IRIS_313_10997","T","SER","XI-3","IRGC 127250","Indonesia",1,2,5,9,2.9,4,1,2,1,4.70048036579242,2
"IRIS_313_10999","T","SER","GJ-trp","IRGC 127550","Indonesia",2,2,5,9.5,3,3,1,2.8,1,4.21950770517611,1
"IRIS_313_11005","T","SER","GJ-trp","IRGC 128140","Indonesia",2,2,5,9,3.4,4,1,2.6,1,4.70048036579242,2
"IRIS_313_11007","T","SER","GJ-trp","IRGC 128141","Indonesia",2,2,5,8.3,3.5,4,1,2.7,1,4.70048036579242,1
"IRIS_313_11016","T","SAE","cA (Aus)","IRGC 128328","Bangladesh",1,2,5,8.1,2.7,3,2,1.9,2,4.40671924726425,1
"IRIS_313_11024","T","SAW","cA (Aus)","IRGC 127217","Pakistan",2,2,3,9.9,3,3,1,3,2,4.35670882668959,1
"IRIS_313_11027","T","SAW","cA (Aus)","IRGC 127454","Pakistan",1,1,1,7.3,2,3,2,1.2,2,4.35670882668959,2
"IRIS_313_11032","T","SAW","cB (Bas)","IRGC 127710","Pakistan",2,2,3,9.6,2.4,3,2,2.4,1,4.57471097850338,2
"IRIS_313_11033",NA,"SAW","admix","IRGC 128448","Pakistan",1,2,5,9.6,3,4,1,2.7,NA,4.35670882668959,2
"IRIS_313_11034",NA,"SAW","cA (Aus)","IRGC 127786","Pakistan",1,2,1,8.7,2.5,3,1,1.8,1,4.27666611901606,2
