"X3K_DNA_IRIS_UNIQUE_ID","Status_with_Pedigree.plus.knowledge","Region_of_Origin","K9_group_Admixture","Genetic_Stock_Accession","Country_Origin_updated","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
"IRIS_313_11035",NA,"SAW","admix","IRGC 128513","Pakistan",1,2,5,10,2.1,4,1,1.2,1,4.43081679884331,1
"IRIS_313_11037","T","SAW","cA (Aus)","IRGC 128211","Pakistan",1,2,5,8,2.8,2,1,2.1,1,4.35670882668959,1
"IRIS_313_11038","P","EAS","XI-1A","IRGC 127924","China",1,1,1,9,3.2,2,1,2.6,1,4.12713438504509,1
"IRIS_313_11039","I","EAS","XI-1A","IRGC 128093","China",1,1,1,7.2,3.2,2,2,2.5,1,4.24849524204936,1
"IRIS_313_11040",NA,"SAC","XI-adm",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11042",NA,"SAC","XI-adm",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11043",NA,"SER","XI-3",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11044",NA,"SER","GJ-trp","IRGC 128005","Malaysia",1,2,3,8.2,3.7,4,1,2.9,1,4.70048036579242,2
"IRIS_313_11045",NA,"SER","GJ-trp","IRGC 128039","Malaysia",2,2,5,8.3,3.6,4,1,2.7,2,4.70048036579242,2
"IRIS_313_11046",NA,"SER","GJ-trp",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11047","P","SAE","cA (Aus)","IRGC 127977","Bangladesh",1,2,3,7.7,3.1,3,1,2.1,1,4.21950770517611,2
"IRIS_313_11048","P","SAE","cA (Aus)","IRGC 127178","Bangladesh",2,2,3,8.7,3.2,3,1,3,1,4.21950770517611,1
"IRIS_313_11049","P","SAE","cA (Aus)","IRGC 127179","Bangladesh",2,2,3,8.2,3,3,1,2.4,2,4.12713438504509,2
"IRIS_313_11050","P","SAE","cA (Aus)","IRGC 127180","Bangladesh",1,2,5,8.2,3,3,1,2.5,2,4.21950770517611,2
"IRIS_313_11051","P","SAE","cA (Aus)","IRGC 127181","Bangladesh",1,2,3,8.2,3,3,1,2.3,2,4.21950770517611,1
"IRIS_313_11052","P","SAE","cA (Aus)","IRGC 127182","Bangladesh",1,2,3,7.5,3.2,3,1,2.3,2,4.21950770517611,2
"IRIS_313_11053","P","SAE","cA (Aus)","IRGC 127183","Bangladesh",2,2,3,7.9,3.4,3,1,2.7,2,4.21950770517611,1
"IRIS_313_11054","P","SAE","cA (Aus)","IRGC 127184","Bangladesh",1,2,3,8.1,3.2,3,1,2.7,2,4.21950770517611,2
"IRIS_313_11055","P","SAE","cA (Aus)","IRGC 127185","Bangladesh",1,2,1,7.5,3.3,4,1,2.4,1,4.21950770517611,2
"IRIS_313_11056","P","SAE","cA (Aus)","IRGC 127186","Bangladesh",1,2,1,9.6,3.2,3,1,2.7,2,4.21950770517611,1
"IRIS_313_11057","P","SAE","cA (Aus)","IRGC 127187","Bangladesh",1,2,5,8.2,3.1,3,1,2.5,2,4.12713438504509,2
"IRIS_313_11058","P","SAE","cA (Aus)","IRGC 127188","Bangladesh",2,2,3,8.6,3.2,3,1,2.6,2,4.27666611901606,2
"IRIS_313_11059","P","SAE","cA (Aus)","IRGC 127189","Bangladesh",1,2,5,9,3.3,3,1,3,2,4.21950770517611,1
"IRIS_313_11062","P","SAE","cB (Bas)","IRGC 127218","Bangladesh",1,2,5,5.7,2.9,3,1,1.4,2,4.21950770517611,2
"IRIS_313_11063","P","SAE","cA (Aus)","IRGC 135741","Bangladesh",1,2,5,7.9,2.9,3,1,2.3,NA,4.21950770517611,2
"IRIS_313_11064","P","SAE","cA (Aus)","IRGC 132306","Bangladesh",1,2,5,7.8,3,2,1,2.1,1,4.12713438504509,1
"IRIS_313_11066","P","SAE","admix","IRGC 127381","Bangladesh",1,2,5,7.3,3.4,3,1,2.5,1,4.12713438504509,1
"IRIS_313_11079","T","SEA","XI-3","IRGC 128132","Lao People's Democratic Republic",1,2,5,9.7,3.1,3,1,3,1,4.71849887129509,2
"IRIS_313_11081","T","SEA","XI-3","IRGC 128184","Lao People's Democratic Republic",2,2,5,10.4,3.7,4,1,3.7,1,4.77912349311153,2
"IRIS_313_11083","T","SEA","XI-3","IRGC 132248","Lao People's Democratic Republic",2,2,5,8.4,3.5,4,2,2.8,1,4.77912349311153,2
"IRIS_313_11085",NA,"SEA","XI-adm","IRGC 132273","Lao People's Democratic Republic",2,2,5,9.8,3.5,3,1,2.2,1,4.23410650459726,2
"IRIS_313_11089",NA,"SEA","XI-3","IRGC 127824","Cambodia",1,2,1,9.7,3,3,1,1.8,2,4.44265125649032,2
"IRIS_313_11094","T","SEA","GJ-sbtrp","IRGC 132274","Lao People's Democratic Republic",2,2,7,11.1,4.1,3,1,3.6,1,4.43081679884331,2
"IRIS_313_11095","T","SEA","XI-3","IRGC 128104","Lao People's Democratic Republic",2,2,5,8.5,3.6,4,1,3.1,1,4.65396035015752,2
"IRIS_313_11097","T","SER","XI-adm","IRGC 127478","Philippines",2,2,5,7.4,3.3,3,1,1.7,2,4.44265125649032,2
"IRIS_313_11098",NA,"WAF","XI-3","IRGC 134993","Sierra Leone",1,1,5,9.2,3,3,1,1.6,NA,4.78749174278205,1
"IRIS_313_11102",NA,"WAF","GJ-trp",NA,"Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11103",NA,"WAF","GJ-trp","IRGC 132329","Liberia",2,2,5,9.8,3.6,3,1,3.2,2,4.44265125649032,1
"IRIS_313_11104",NA,"WAF","GJ-trp","IRGC 131978","Liberia",1,2,5,9.3,3.4,3,1,2.8,2,4.44265125649032,1
"IRIS_313_11112","T","SAE","cA (Aus)","IRGC 128308","Bangladesh",2,2,1,9,3.6,3,1,2.8,2,4.44265125649032,2
"IRIS_313_11113","T","SAE","XI-2","IRGC 128069","Bangladesh",2,2,5,9.3,3.4,4,1,2.8,1,4.63472898822964,1
"IRIS_313_11118","T","SEA","XI-3","IRGC 135797","Viet Nam",2,1,5,8,3,3,1,1.7,NA,5.13579843705026,2
"IRIS_313_11129",NA,"SEA","XI-adm","IRGC 128051","Myanmar",1,2,1,8.2,2.9,3,1,2.1,2,4.64439089914137,1
"IRIS_313_11151","I","SEA","XI-3","IRGC 128035","Myanmar",2,2,1,8.7,3,4,1,2.6,NA,4.58496747867057,1
"IRIS_313_11160",NA,"WAF","XI-3","IRGC 127195","Liberia",1,1,5,9.9,2.8,3,1,2.2,2,4.58496747867057,1
"IRIS_313_11189",NA,"WAS","admix","IRGC 128424","Union of Soviet Socialist Republics (Former)",2,2,3,9.8,3.6,3,1,2.8,1,4.20469261939097,1
"IRIS_313_11191","T","IOC","cA (Aus)","IRGC 127763","Sri Lanka",2,2,3,6.3,2.8,3,1,1.4,1,4.34380542185368,2
"IRIS_313_11194",NA,"SEA","XI-3","IRGC 135760","Thailand",2,2,5,10.4,3.1,4,1,2.5,NA,4.95582705760126,2
"IRIS_313_11202","I","EAS","GJ-tmp","IRGC 127920","China",1,1,3,8,3.7,2,1,2.9,1,4.38202663467388,1
"IRIS_313_11205","T","SAE","XI-2","IRGC 128075","Bangladesh",2,2,3,8.9,3.2,4,2,3,1,4.98360662170834,1
"IRIS_313_11221","P","SAE","XI-2","IRGC 128022","Bangladesh",2,1,5,9.3,2.8,4,1,2.7,2,4.7361984483945,2
"IRIS_313_11224","P","SAE","XI-2","IRGC 128130","Bangladesh",2,2,5,10.1,2.6,4,2,2.2,1,4.85203026391962,2
"IRIS_313_11226","P","SAE","XI-2","IRGC 128153","Bangladesh",2,2,3,9.4,3,4,1,2.4,1,4.86753445045558,1
"IRIS_313_11228","P","SAE","XI-2","IRGC 128155","Bangladesh",2,2,5,9.7,2.9,3,1,2.5,2,4.85203026391962,2
"IRIS_313_11229","P","SAE","XI-2","IRGC 128171","Bangladesh",1,1,1,8.8,3.1,4,1,2.4,1,4.70048036579242,2
"IRIS_313_11231","P","SAE","XI-2","IRGC 135799","Bangladesh",2,2,5,9.4,3.2,4,1,2.6,NA,4.85203026391962,2
"IRIS_313_11234","T","SER","XI-adm","IRGC 127563","Philippines",2,1,5,10.4,2.9,3,1,2.3,1,4.57471097850338,1
"IRIS_313_11238",NA,"SAM","GJ-trp",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11239","I","SER","XI-adm","IRGC 127978","Indonesia",1,1,5,10.3,2.9,3,1,2.5,1,4.54329478227,2
"IRIS_313_11240","I","SAC","XI-adm","IRGC 128020","India",1,1,1,9,2.9,2,1,2.2,1,4.40671924726425,2
"IRIS_313_11241","I","SAE","XI-2","IRGC 128001","Bangladesh",2,2,3,8.4,2.7,4,1,1.7,2,4.81218435537242,2
"IRIS_313_11242","I","SAC","XI-2","IRGC 128121","India",1,1,3,8.6,2.8,4,1,1.9,2,4.78749174278205,1
"IRIS_313_11244",NA,"SAC","XI-adm",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11245","P","SAC","XI-adm","IRGC 128151","India",1,1,1,9.2,2.7,3,2,1.9,1,4.35670882668959,2
"IRIS_313_11247","I","SAC","XI-adm","IRGC 132431","India",1,1,1,9.3,3,3,2,2.5,1,4.24849524204936,1
"IRIS_313_11249","I","SER-IRRI","XI-adm","IRGC 132341","Philippines",1,1,1,9.7,2.6,3,2,2.4,1,4.66343909411207,2
"IRIS_313_11251","I","SER-IRRI","XI-1B","IRGC 132340","Philippines",1,1,1,8.4,3.1,3,2,2.5,2,4.66343909411207,2
"IRIS_313_11252",NA,"SAC","XI-adm",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11253","I","SAM","XI-adm",NA,"Surinam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11256",NA,"SAC","XI-adm","IRGC 127941","India",2,1,5,8.8,2.9,3,2,3,1,4.7361984483945,1
"IRIS_313_11257",NA,"SAC","XI-adm","IRGC 127944","India",2,1,5,9,3,4,1,2.9,1,4.66343909411207,2
"IRIS_313_11258",NA,"SAC","cB (Bas)","IRGC 127948","India",NA,2,5,5.5,2.3,NA,2,1,2,4.67282883446191,1
"IRIS_313_11260",NA,"SAC","XI-adm","IRGC 127950","India",1,2,5,8.7,2.9,3,2,2.3,1,4.52178857704904,1
"IRIS_313_11262",NA,"SAC","XI-adm","IRGC 127952","India",1,1,3,7.8,3.4,3,1,2.2,1,4.69134788222914,1
"IRIS_313_11263",NA,"SAC","XI-adm","IRGC 127953","India",2,1,5,8.4,3.4,4,1,2.9,1,4.78749174278205,1
"IRIS_313_11264",NA,"SAC","XI-adm","IRGC 132241","India",1,1,3,9.4,2.5,3,1,2.1,2,4.68213122712422,2
"IRIS_313_11265",NA,"SAC","cA (Aus)","IRGC 132242","India",1,1,5,7.2,3.4,3,2,2.1,2,4.4188406077966,1
"IRIS_313_11266",NA,"SAC","XI-adm","IRGC 127955","India",2,1,1,7.4,3.3,4,1,2.4,1,4.69134788222914,2
"IRIS_313_11267",NA,"SAC","XI-2","IRGC 127956","India",2,1,3,8.4,2.1,3,2,1.4,2,4.64439089914137,2
"IRIS_313_11269",NA,"SAC","XI-adm","IRGC 127958","India",2,1,5,8.3,3.8,4,1,2.7,1,4.70048036579242,2
"IRIS_313_11270",NA,"SAC","cB (Bas)","IRGC 127959","India",2,1,7,8,3.2,3,1,2,2,4.7361984483945,2
"IRIS_313_11271",NA,"SAC","XI-2","IRGC 127961","India",2,1,5,8.3,3.1,3,1,2.3,NA,4.82028156560504,2
"IRIS_313_11273",NA,"SAC","XI-adm","IRGC 127962","India",2,2,5,8.8,3.1,4,2,2.6,1,4.69134788222914,1
"IRIS_313_11274",NA,"SAC","cA (Aus)","IRGC 127155","India",2,2,3,7.5,2.7,3,2,1.8,2,4.4188406077966,1
"IRIS_313_11275",NA,"SAC","XI-adm","IRGC 127156","India",1,2,5,8.3,3.1,3,2,2.3,2,4.4188406077966,2
"IRIS_313_11277",NA,"SAC","cA (Aus)","IRGC 127157","India",1,1,3,8.5,3,3,1,2.8,2,4.60517018598809,2
"IRIS_313_11278",NA,"SAC","XI-adm",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11279",NA,"SAC","XI-adm","IRGC 127967","India",1,2,5,9.2,3.2,3,2,2.6,1,4.56434819146784,2
"IRIS_313_11280",NA,"SAC","XI-adm","IRGC 135735","India",2,2,5,11,2.9,3,1,3,NA,4.68213122712422,1
"IRIS_313_11281",NA,"SAC","XI-1A","IRGC 131967","India",2,2,3,8.8,2.8,3,1,2.1,1,4.35670882668959,2
"IRIS_313_11285",NA,"SAC","XI-2",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11286",NA,"SAC","XI-adm","IRGC 135736","India",2,1,5,8.8,3.3,4,1,2.2,NA,4.76217393479776,1
"IRIS_313_11287",NA,"SAC","XI-adm","IRGC 127969","India",2,2,1,9.6,2.9,4,1,2.5,2,4.62497281328427,2
"IRIS_313_11289",NA,"SAC","cB (Bas)","IRGC 127971","India",2,1,3,8.6,3.8,5,1,2.8,1,4.69134788222914,2
"IRIS_313_11295",NA,"SAC","admix","IRGC 127137","India",1,2,3,8.5,3.1,3,1,2.3,2,4.60517018598809,2
"IRIS_313_11297",NA,"SAC","admix","IRGC 127947","India",1,1,3,7,3.8,3,2,2.3,2,4.57471097850338,2
"IRIS_313_11298",NA,"SAC","cA (Aus)","IRGC 127152","India",2,1,5,7.1,3.2,3,2,1.9,2,4.4188406077966,1
"IRIS_313_11301",NA,"SAC","XI-2","IRGC 127963","India",1,1,7,8.1,2.6,4,1,1.8,1,4.68213122712422,2
"IRIS_313_11302",NA,"SAC","XI-adm","IRGC 127154","India",2,1,3,9,3.1,4,2,1.3,2,4.78749174278205,1
"IRIS_313_11303",NA,"SAC","XI-adm","IRGC 128228","India",2,1,5,8.3,2.9,3,2,2.2,1,4.76217393479776,2
"IRIS_313_11316","T","SER","XI-3","IRGC 135790","Indonesia",2,2,5,6.7,2.9,4,1,1.6,NA,4.9416424226093,1
"IRIS_313_11321","T","SAE","XI-2","IRGC 128043","Bangladesh",2,1,7,7.8,2.6,3,1,1.8,2,4.76217393479776,1
"IRIS_313_11324","T","SAE","cA (Aus)","IRGC 127477","Bangladesh",NA,2,3,7.6,3.2,NA,2,2.7,1,4.30406509320417,1
"IRIS_313_11338","T","SER","XI-adm","IRGC 128097","Philippines",2,1,5,9.1,3.8,4,1,3.7,1,4.56434819146784,1
"IRIS_313_11345","T","SER","XI-adm","IRGC 127891","Philippines",1,1,5,8.6,3,4,2,2.4,1,4.45434729625351,2
"IRIS_313_11350",NA,"SAC","cB (Bas)","IRGC 127983","India",1,1,5,6.8,2.9,4,1,1.7,2,4.66343909411207,2
"IRIS_313_11351",NA,"SAC","XI-2","IRGC 127986","India",1,1,3,9.4,2.7,3,1,2.2,2,4.70953020131233,2
"IRIS_313_11358",NA,"SAC","XI-2","IRGC 128023","India",1,2,7,7.8,2.2,3,1,1.8,2,4.60517018598809,2
"IRIS_313_11370",NA,"SAC","XI-2","IRGC 132368","India",1,1,5,9,3.5,3,2,3.2,2,4.56434819146784,2
"IRIS_313_11372",NA,"SAC","XI-2","IRGC 128173","India",1,1,5,10.8,2.4,3,1,2.6,1,4.54329478227,2
"IRIS_313_11386","T","SEA","XI-3","IRGC 128083","Thailand",2,2,5,10.3,2.6,4,2,2.5,2,4.87519732320115,2
"IRIS_313_11394","T","SER","XI-adm","IRGC 128057","Indonesia",2,1,5,9.6,2.9,3,2,3,2,4.83628190695148,2
"IRIS_313_11395","T","SER","XI-3","IRGC 135755","Indonesia",2,1,5,8.2,2.4,3,2,1.6,NA,4.91265488573605,2
"IRIS_313_11416",NA,"SAC","XI-2","IRGC 127529","India",2,2,5,8.6,2.7,3,2,2.2,2,4.79579054559674,2
"IRIS_313_11431","I","SER","XI-3","IRGC 127244","Philippines",1,1,5,9.7,2.9,2,1,2.4,2,4.54329478227,2
"IRIS_313_11435","T","WAF","GJ-trp","IRGC 128392","Cote d'Ivoire",2,1,3,9.5,3,3,1,2.4,2,4.47733681447821,2
"IRIS_313_11436","T","WAF","GJ-trp","IRGC 127779","Cote d'Ivoire",2,1,5,9.4,3.2,3,1,2.4,1,4.52178857704904,1
"IRIS_313_11443","T","SAC","XI-adm","IRGC 127161","India",1,1,5,8.6,3.1,4,1,1.8,2,4.52178857704904,2
"IRIS_313_11453","T","SAC","XI-2","IRGC 127916","India",1,1,7,8.1,2.4,3,1,1.7,1,4.47733681447821,2
"IRIS_313_11460","T","SAC","XI-2","IRGC 127792","India",1,1,1,8,3.2,3,2,1.4,1,4.45434729625351,2
"IRIS_313_11461","T","SAC","XI-2","IRGC 127881","India",1,1,5,9.1,3.4,2,2,2.9,1,4.47733681447821,2
"IRIS_313_11467","T","SER","XI-3","IRGC 128372","Philippines",1,1,5,10.1,2.9,4,1,2.7,2,4.78749174278205,2
"IRIS_313_11472","T","SER","XI-3",NA,"Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11477",NA,"SAC","cA (Aus)","IRGC 127489","India",1,1,5,9.1,2.8,3,2,1.6,2,4.35670882668959,1
"IRIS_313_11483","T","SAE","cA (Aus)","IRGC 128244","Bangladesh",1,1,3,8,3.9,2,1,3.1,1,4.34380542185368,2
"IRIS_313_11484","T","SAE","cA (Aus)","IRGC 127357","Bangladesh",NA,2,5,8.6,2.8,NA,2,2.4,2,4.4188406077966,1
"IRIS_313_11489",NA,"SAC","cA (Aus)","IRGC 127482","India",2,1,3,9.2,3.3,3,2,2.4,2,4.55387689160054,2
"IRIS_313_11493","T","SAC","XI-adm","IRGC 127126","India",2,1,1,7.8,3.2,3,2,2.3,2,4.58496747867057,2
"IRIS_313_11513",NA,"SAM","XI-1B","IRGC 127269","Ecuador",1,1,3,8.2,3.3,2,1,2.7,1,4.64439089914137,1
"IRIS_313_11515","I","SEA","XI-adm","IRGC 127231","Thailand",2,1,1,11.2,3,3,1,3.1,1,4.62497281328427,2
"IRIS_313_11516","I","SER-IRRI","XI-adm","IRGC 127437","Philippines",1,1,1,9.5,3.1,2,1,2.7,1,4.49980967033027,1
"IRIS_313_11521","T","SEA","XI-adm","IRGC 127847","Viet Nam",2,1,1,8.4,3.8,3,1,3,1,4.74493212836325,1
"IRIS_313_11522",NA,"EAS","GJ-adm","IRGC 128505","China",1,1,5,7.8,3.2,3,2,2.1,1,4.33073334028633,1
"IRIS_313_11528","T","WAF","XI-3","IRGC 127917","Cote d'Ivoire",2,1,3,9.6,3,4,1,2.6,2,4.92725368515721,2
"IRIS_313_11530","T","SEA","XI-3","IRGC 131993","Thailand",2,1,1,10.5,3.1,3,2,3.4,1,4.82028156560504,2
"IRIS_313_11543",NA,"SEA","XI-3","IRGC 127537","Myanmar",2,2,5,8.7,3.1,4,2,2.7,1,5.07517381523383,2
"IRIS_313_11546",NA,"SEA","XI-adm","IRGC 127672","Myanmar",1,2,5,8.7,3.1,4,2,2.1,1,4.75359019110636,2
"IRIS_313_11547",NA,"SEA","XI-adm","IRGC 135580","Myanmar",NA,2,7,8.9,2.9,NA,2,1.8,NA,4.91265488573605,1
"IRIS_313_11555","T","WAF","XI-adm","IRGC 135578","Sierra Leone",2,1,5,8.1,3.1,3,2,2.5,NA,5.15329159449778,2
"IRIS_313_11567","T","SAC","cB (Bas)","IRGC 127766","Nepal",1,1,3,8.6,2.5,4,2,2,1,4.77068462446567,2
"IRIS_313_11575",NA,"EAS","GJ-tmp","IRGC 127415","China",1,1,5,8,3.3,2,1,2.4,1,4.30406509320417,1
"IRIS_313_11582",NA,"EAS","GJ-tmp","IRGC 128499","China",1,1,3,7.8,3.2,2,1,2.3,1,4.43081679884331,2
"IRIS_313_11591",NA,"SER","admix","IRGC 132293","Malaysia",2,1,1,8.6,3,4,1,2.8,1,4.96284463025991,1
"IRIS_313_11596",NA,"SAC","XI-adm","IRGC 127221","India",1,1,1,6.2,2.8,3,2,1.4,2,4.45434729625351,1
"IRIS_313_11602",NA,"SAC","cA (Aus)","IRGC 127597","India",1,1,5,7.8,2.4,2,2,1.8,2,4.33073334028633,1
"IRIS_313_11604",NA,"SAC","cA (Aus)","IRGC 127829","India",1,1,5,8.9,2.6,3,2,2,1,4.43081679884331,2
"IRIS_313_11607",NA,"SAC","XI-2","IRGC 127411","India",2,1,3,8.6,2.8,3,2,2.5,1,4.84418708645859,2
"IRIS_313_11615","T","WAF","XI-3","IRGC 132408","Guinea",NA,2,5,7.2,2.9,NA,2,2.3,2,4.96284463025991,1
"IRIS_313_11617","T","SAC","cA (Aus)","IRGC 128495","India",2,2,5,7.9,3,3,2,2.2,2,4.43081679884331,1
"IRIS_313_11618","T","SAC","cA (Aus)","IRGC 127879","India",2,2,5,9.2,2.3,4,2,2,2,4.54329478227,1
"IRIS_313_11622",NA,"EAS","XI-1A","IRGC 127467","China",NA,2,1,7,2.9,NA,2,2.4,1,4.33073334028633,1
"IRIS_313_11624","T","SAC","XI-1A","IRGC 127122","Nepal",1,2,5,8.9,3,3,2,2.9,2,4.38202663467388,2
"IRIS_313_11626","T","SAC","cB (Bas)","IRGC 127395","Nepal",1,2,3,6.8,3.1,3,2,2.3,2,4.47733681447821,1
"IRIS_313_11630","T","SAC","cB (Bas)","IRGC 127737","Nepal",2,1,5,7.9,2.1,3,1,1.8,1,4.68213122712422,2
"IRIS_313_11635","T","SEA","XI-3","IRGC 128294","Thailand",2,2,5,9,3.4,4,2,1.5,1,4.8283137373023,1
"IRIS_313_11638",NA,"SAC","XI-2","IRGC 127656","India",1,1,3,9.1,2.8,3,2,2.8,1,4.45434729625351,1
"IRIS_313_11642",NA,"SAC","XI-2","IRGC 127661","India",1,1,1,8.1,2.9,3,2,2.6,1,4.60517018598809,1
"IRIS_313_11643",NA,"SAC","XI-1B","IRGC 127662","India",2,1,3,9.7,2.5,3,2,2.5,2,4.77912349311153,2
"IRIS_313_11644",NA,"SAC","XI-2","IRGC 127663","India",1,1,3,8.2,3.2,3,2,2.7,1,4.58496747867057,2
"IRIS_313_11645",NA,"SAC","XI-2","IRGC 127664","India",2,1,3,8.8,3,3,2,2.8,1,4.60517018598809,1
"IRIS_313_11646",NA,"SAC","XI-2","IRGC 127665","India",1,1,3,9.7,2.8,2,2,3.1,1,4.58496747867057,1
"IRIS_313_11647",NA,"SAC","XI-2","IRGC 127666","India",1,1,3,7.7,3.1,3,2,2.6,1,4.56434819146784,1
"IRIS_313_11648",NA,"SAC","XI-2","IRGC 127667","India",1,1,1,7,2.9,3,2,1.9,1,4.58496747867057,1
"IRIS_313_11651",NA,"EAS","GJ-tmp","IRGC 128291","China",1,1,5,7.5,3.2,2,1,2.6,1,3.98898404656427,1
"IRIS_313_11652",NA,"EAS","GJ-tmp","IRGC 128303","China",1,1,5,7.6,3.5,2,1,3.2,1,4.06044301054642,1
"IRIS_313_11654",NA,"EAS","GJ-tmp","IRGC 128434","China",1,1,5,7.3,3.4,2,1,2.8,1,4.27666611901606,2
"IRIS_313_11655",NA,"EAS","GJ-tmp","IRGC 127815","China",1,2,5,7.8,3.6,2,1,3.1,1,4.27666611901606,1
"IRIS_313_11656","I","SER","XI-adm","IRGC 127196","Indonesia",1,1,5,8.7,2.5,3,2,2.5,2,4.47733681447821,1
"IRIS_313_11657",NA,"WAF","XI-2",NA,"Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11658","T","WAF","GJ-trp","IRGC 128381","Sierra Leone",1,1,3,8.9,3.4,3,2,2.9,2,4.60517018598809,1
"IRIS_313_11659","T","WAF","GJ-trp","IRGC 132047","Sierra Leone",2,1,5,8.2,2.9,4,2,2.6,2,4.59511985013459,2
"IRIS_313_11661","T","SAE","GJ-tmp","IRGC 131960","Bhutan",1,1,7,8.9,3.4,2,2,3.6,1,4.12713438504509,1
"IRIS_313_11663","T","EAF","admix","IRGC 128383","Zimbabwe",1,1,3,8.9,3.2,3,2,2.8,2,4.58496747867057,2
"IRIS_313_11664",NA,"EAS","XI-adm","IRGC 127288","China",1,1,3,9.8,2.7,3,2,2.7,1,4.52178857704904,1
"IRIS_313_11665",NA,"EAS","XI-1A","IRGC 127464","China",1,1,1,9,3.2,2,1,3,1,4.43081679884331,1
"IRIS_313_11666",NA,"EAS","XI-adm","IRGC 127573","China",1,1,1,9.2,3,2,1,2.7,2,4.33073334028633,1
"IRIS_313_11667",NA,"EAS","XI-1A","IRGC 127580","China",1,1,3,8.9,3.1,2,1,2.6,1,4.27666611901606,1
"IRIS_313_11668",NA,"EAS","XI-1A","IRGC 127771","China",1,1,3,8.5,3,2,1,2.1,1,4.30406509320417,1
"IRIS_313_11669","I","EAS","XI-adm","IRGC 131986","China",2,1,3,8.3,3.1,4,2,2.4,1,4.21950770517611,2
"IRIS_313_11671","T","SAC","XI-2","IRGC 127313","Nepal",1,1,3,9,2.9,3,2,2.4,1,4.71849887129509,2
"IRIS_313_11673","T","SER","GJ-trp","IRGC 128248","Philippines",1,1,5,7.4,2.6,3,1,1.9,2,4.58496747867057,2
"IRIS_313_11674","T","SEA","XI-3","IRGC 131971","Thailand",2,1,5,8.9,2.7,3,2,2.6,2,4.92725368515721,2
"IRIS_313_11677","T","SEA","XI-3","IRGC 128286","Thailand",1,1,5,9.3,2.8,3,1,2.4,1,4.58496747867057,1
"IRIS_313_11678","T","SEA","XI-3","IRGC 127360","Thailand",2,1,5,9.8,3.6,3,2,3.5,2,4.72738781871234,2
"IRIS_313_11679","T","SEA","XI-3","IRGC 127380","Thailand",1,1,3,10.2,2.7,3,2,2.3,1,4.97673374242057,2
"IRIS_313_11681","T","SEA","XI-3","IRGC 132426","Thailand",NA,2,5,9.1,3.2,NA,2,3.2,2,4.89034912822175,1
